block,braking_condition,crossing_time,ehmi_time,has_ehmi,is_braking,orig_speed,speed,start_time,subj_safety,subject,time_gap,trial
C,3,5.469434426229441,0.574434426229459,False,True,25,11.17568171658471,579.8515655737706,3,11,4,27
C,2,0.20439189189198714,,False,True,30,13.410818059901654,605.895608108108,2,11,3,28
C,0,,,False,False,35,15.645954403218596,623.334812865497,0,11,3,29
C,3,0.277187134502924,2.576187134502902,False,True,35,15.645954403218596,633.3228128654971,4,11,5,30
C,1,-0.14056557377057288,,False,False,25,11.17568171658471,654.0025655737705,1,11,3,31
C,1,0.17139189189197168,,False,False,30,13.410818059901654,670.9496081081081,4,11,5,32
C,0,,,False,False,30,13.410818059901654,688.923608108108,0,11,2,33
C,2,0.27743442622954717,,False,True,25,11.17568171658471,700.8405655737705,2,11,3,34
C,0,,,False,False,25,11.17568171658471,720.5635655737705,0,11,2,35
C,0,0.13839189189184253,,False,False,30,13.410818059901654,731.2846081081082,4,11,5,36
C,0,0.013434426229650853,,False,False,25,11.17568171658471,751.0225655737704,1,11,3,37
C,1,,,False,False,30,13.410818059901654,767.8596081081082,0,11,2,38
C,1,0.06139189189184435,,False,False,30,13.410818059901654,778.1446081081082,3,11,4,39
C,0,0.1273918918917616,,False,False,30,13.410818059901654,796.0196081081082,4,11,4,40
C,2,0.0794344262294544,,False,True,25,11.17568171658471,815.1195655737705,4,11,4,41
C,3,-0.008812865497020539,1.542187134503024,False,True,35,15.645954403218596,832.686812865497,4,11,4,42
C,1,-0.03056557377055924,,False,False,25,11.17568171658471,851.8155655737705,3,11,4,43
C,3,0.013187134503027664,0.5301871345029667,False,True,35,15.645954403218596,868.172812865497,2,11,3,44
C,3,-0.059608108108250235,0.12739189189187528,False,True,30,13.410818059901654,885.4716081081082,3,11,3,45
A,1,,,False,False,25,11.17568171658471,21.30456557377049,0,12,3,0
A,1,0.8491871345029338,,False,False,35,15.645954403218596,34.94481286549707,3,12,5,1
A,0,,,False,False,35,15.645954403218596,60.805812865497074,0,12,4,2
A,1,,,False,False,25,11.17568171658471,76.40356557377049,0,12,4,3
A,3,8.549434426229496,1.5754344262295064,False,True,25,11.17568171658471,90.8685655737705,4,12,5,4
A,2,7.706391891891869,,False,True,30,13.410818059901654,123.83160810810811,4,12,4,5
A,2,6.679187134502911,,False,True,35,15.645954403218596,154.7788128654971,3,12,3,6
A,2,6.804391891891896,,False,True,30,13.410818059901654,185.6956081081081,4,12,3,7
A,3,7.361187134502899,1.5421871345029103,False,True,35,15.645954403218596,214.70681286549708,4,12,4,8
A,0,,,False,False,25,11.17568171658471,245.80356557377047,0,12,3,9
A,0,0.34343442622952125,,False,False,25,11.17568171658471,259.93856557377046,3,12,5,10
A,2,8.564391891891887,,False,True,30,13.410818059901654,284.0466081081081,4,12,5,11
A,0,,,False,False,30,13.410818059901654,315.75960810810807,0,12,3,12
